category,name
Physiology or Medicine,Tadeus Reichstein
Physics,Takaaki Kajita
Physiology or Medicine,Tasuku Honjo
Peace,Tawakkol Karman
Peace,The 14th Dalai Lama 
Chemistry,The Svedberg
Physiology or Medicine,Theodor Kocher
Literature,Theodor Mommsen
Physics,Theodor W. Hänsch
Peace,Theodore Roosevelt
Chemistry,Theodore W. Richards
Economic Sciences,Theodore W. Schultz
Chemistry,Thomas A. Steitz
Economic Sciences,Thomas C. Schelling
Physiology or Medicine,Thomas C. Südhof
Physiology or Medicine,Thomas H. Morgan
Physiology or Medicine,Thomas H. Weller
Economic Sciences,Thomas J. Sargent
Literature,Thomas Mann
Chemistry,Thomas R. Cech
Physiology or Medicine,Tim Hunt
Economic Sciences,Tjalling C. Koopmans
Peace,Tobias Asser
Chemistry,Tomas Lindahl
Literature,Tomas Tranströmer
Literature,Toni Morrison
